"employee_no","First name","Last name","Birthdate","Basic Salary","Clothing Allowance","Phone Allowance","Rice Subsidy","Hourly Rate"
"10005","Alice","Romualdez","May 14 1992","22500.0","500.0","500.0","1500.0","133.93"



"Weekly Date","Pagibig Deduction","SSS Deduction","Philhealth Deduction","Withholding Tax","Gross Salary","Net Salary"
"2022-11-11",,,,,"4319.2425","4319.2425"
"2022-10-28",,,,,"4319.2425","4319.2425"
"2022-12-16",,,,,"2176.3625","2176.3625"
"2022-09-09","450.0","1012.5","675.0","333.4","6819.2425","4348.342500000001"
"2022-10-21",,,,,"5357.200000000001","5357.200000000001"
"2022-09-02",,,,,"2142.88","2142.88"
"2022-11-25",,,,,"4319.2425","4319.2425"
"2022-09-30",,,,,"5357.200000000001","5357.200000000001"
"2022-10-07",,,,,"4319.2425","4319.2425"
"2022-12-23","450.0","1012.5","675.0","333.4","2500.0","29.09999999999991"
"2022-09-16",,,,,"4319.2425","4319.2425"
"2022-11-04",,,,,"3247.8025000000002","3247.8025000000002"
"2022-12-09",,,,,"4285.76","4285.76"
"2022-10-14","450.0","1012.5","675.0","333.4","6819.2425","4348.342500000001"
"2022-12-02",,,,,"3247.8025000000002","3247.8025000000002"
"2022-12-30",,,,,"0.0","0.0"
"2022-11-18","450.0","1012.5","675.0","333.4","7857.200000000001","5386.300000000001"
"2022-09-23",,,,,"4319.2425","4319.2425"
