"employee_no","First name","Last name","Birthdate","Basic Salary","Clothing Allowance","Phone Allowance","Rice Subsidy","Hourly Rate"
"10009","Allison ","San Jose","June 24 1986","22500.0","500.0","500.0","1500.0","133.93"



"Weekly Date","Pagibig Deduction","SSS Deduction","Philhealth Deduction","Withholding Tax","Gross Salary","Net Salary"
"2022-11-11",,,,,"4296.920833333334","4296.920833333334"
"2022-10-28",,,,,"5357.200000000001","5357.200000000001"
"2022-12-16",,,,,"5357.200000000001","5357.200000000001"
"2022-09-09","450.0","1012.5","675.0","333.4","3571.44","1100.54"
"2022-10-21",,,,,"4296.920833333334","4296.920833333334"
"2022-09-02",,,,,"1082.6008333333334","1082.6008333333334"
"2022-11-25",,,,,"5357.200000000001","5357.200000000001"
"2022-09-30",,,,,"4296.920833333334","4296.920833333334"
"2022-10-07",,,,,"4285.76","4285.76"
"2022-12-23","450.0","1012.5","675.0","333.4","6796.920833333334","4326.020833333334"
"2022-09-16",,,,,"4285.76","4285.76"
"2022-11-04",,,,,"3225.4808333333335","3225.4808333333335"
"2022-12-09",,,,,"4285.76","4285.76"
"2022-10-14","450.0","1012.5","675.0","333.4","6796.920833333334","4326.020833333334"
"2022-12-02",,,,,"3225.4808333333335","3225.4808333333335"
"2022-12-30",,,,,"3225.4808333333335","3225.4808333333335"
"2022-11-18","450.0","1012.5","675.0","333.4","6796.920833333334","4326.020833333334"
"2022-09-23",,,,,"4296.920833333334","4296.920833333334"
