"employee_no","First name","Last name","Birthdate","Basic Salary","Clothing Allowance","Phone Allowance","Rice Subsidy","Hourly Rate"
"10004","Anthony","Salcedo","September 14 1993","60825.0","1000.0","1000.0","1500.0","362.05"



"Weekly Date","Pagibig Deduction","SSS Deduction","Philhealth Deduction","Withholding Tax","Gross Salary","Net Salary"
"2022-11-11",,,,,"14482.0","14482.0"
"2022-10-28",,,,,"14482.0","14482.0"
"2022-12-16",,,,,"8689.2","8689.2"
"2022-09-09","1216.5","1125.0","1824.75","9373.0","17982.0","4442.75"
"2022-10-21",,,,,"14482.0","14482.0"
"2022-09-02",,,,,"5792.8","5792.8"
"2022-11-25",,,,,"14482.0","14482.0"
"2022-09-30",,,,,"14482.0","14482.0"
"2022-10-07",,,,,"14482.0","14482.0"
"2022-12-23","1216.5","1125.0","1824.75","9373.0","3500.0","-10039.25"
"2022-09-16",,,,,"14482.0","14482.0"
"2022-11-04",,,,,"11585.6","11585.6"
"2022-12-09",,,,,"11585.6","11585.6"
"2022-10-14","1216.5","1125.0","1824.75","9373.0","17982.0","4442.75"
"2022-12-02",,,,,"11585.6","11585.6"
"2022-12-30",,,,,"0.0","0.0"
"2022-11-18","1216.5","1125.0","1824.75","9373.0","17982.0","4442.75"
"2022-09-23",,,,,"14482.0","14482.0"
