"employee_no","First name","Last name","Birthdate","Basic Salary","Clothing Allowance","Phone Allowance","Rice Subsidy","Hourly Rate"
"10023","Carol ","Ramos","August 20 1978","22500.0","0.0","0.0","0.0","133.93"



"Weekly Date","Pagibig Deduction","SSS Deduction","Philhealth Deduction","Withholding Tax","Gross Salary","Net Salary"
"2022-11-11",,,,,"4285.76","4285.76"
"2022-10-28",,,,,"3214.32","3214.32"
"2022-12-16",,,,,"3214.32","3214.32"
"2022-09-09","450.0","1012.5","675.0","333.4","3214.32","743.4200000000001"
"2022-10-21",,,,,"4285.76","4285.76"
"2022-09-02",,,,,"2142.88","2142.88"
"2022-11-25",,,,,"3214.32","3214.32"
"2022-09-30",,,,,"3214.32","3214.32"
"2022-10-07",,,,,"3214.32","3214.32"
"2022-12-23","450.0","1012.5","675.0","333.4","4285.76","1814.8600000000001"
"2022-09-16",,,,,"4285.76","4285.76"
"2022-11-04",,,,,"2142.88","2142.88"
"2022-12-09",,,,,"3214.32","3214.32"
"2022-10-14","450.0","1012.5","675.0","333.4","4285.76","1814.8600000000001"
"2022-12-02",,,,,"3214.32","3214.32"
"2022-12-30",,,,,"3214.32","3214.32"
"2022-11-18","450.0","1012.5","675.0","333.4","3214.32","743.4200000000001"
"2022-09-23",,,,,"4285.76","4285.76"
