"employee_no","First name","Last name","Birthdate","Basic Salary","Clothing Allowance","Phone Allowance","Rice Subsidy","Hourly Rate"
"10002","Christian","Mata","October 21 1987","42975.0","800.0","800.0","1500.0","255.8"



"Weekly Date","Pagibig Deduction","SSS Deduction","Philhealth Deduction","Withholding Tax","Gross Salary","Net Salary"
"2022-11-11",,,,,"10232.0","10232.0"
"2022-10-28",,,,,"10232.0","10232.0"
"2022-12-16",,,,,"6139.200000000001","6139.200000000001"
"2022-09-09","859.5","1125.0","1289.25","4910.5","13332.0","5147.75"
"2022-10-21",,,,,"10232.0","10232.0"
"2022-09-02",,,,,"4092.8","4092.8"
"2022-11-25",,,,,"10232.0","10232.0"
"2022-09-30",,,,,"10232.0","10232.0"
"2022-10-07",,,,,"10232.0","10232.0"
"2022-12-23","859.5","1125.0","1289.25","4910.5","3100.0","-5084.25"
"2022-09-16",,,,,"10232.0","10232.0"
"2022-11-04",,,,,"8185.6","8185.6"
"2022-12-09",,,,,"8185.6","8185.6"
"2022-10-14","859.5","1125.0","1289.25","4910.5","13332.0","5147.75"
"2022-12-02",,,,,"8185.6","8185.6"
"2022-12-30",,,,,"0.0","0.0"
"2022-11-18","859.5","1125.0","1289.25","4910.5","13332.0","5147.75"
"2022-09-23",,,,,"10232.0","10232.0"
