"employee_no","First name","Last name","Birthdate","Basic Salary","Clothing Allowance","Phone Allowance","Rice Subsidy","Hourly Rate"
"10010","Cydney ","Rosario","October 6 1996","22500.0","500.0","500.0","1500.0","133.93"



"Weekly Date","Pagibig Deduction","SSS Deduction","Philhealth Deduction","Withholding Tax","Gross Salary","Net Salary"
"2022-11-11",,,,,"5357.200000000001","5357.200000000001"
"2022-10-28",,,,,"5357.200000000001","5357.200000000001"
"2022-12-16",,,,,"5357.200000000001","5357.200000000001"
"2022-09-09","450.0","1012.5","675.0","333.4","7857.200000000001","5386.300000000001"
"2022-10-21",,,,,"4285.76","4285.76"
"2022-09-02",,,,,"2142.88","2142.88"
"2022-11-25",,,,,"5357.200000000001","5357.200000000001"
"2022-09-30",,,,,"5357.200000000001","5357.200000000001"
"2022-10-07",,,,,"5357.200000000001","5357.200000000001"
"2022-12-23","450.0","1012.5","675.0","333.4","7857.200000000001","5386.300000000001"
"2022-09-16",,,,,"5357.200000000001","5357.200000000001"
"2022-11-04",,,,,"4285.76","4285.76"
"2022-12-09",,,,,"4285.76","4285.76"
"2022-10-14","450.0","1012.5","675.0","333.4","6785.76","4314.860000000001"
"2022-12-02",,,,,"4285.76","4285.76"
"2022-12-30",,,,,"4285.76","4285.76"
"2022-11-18","450.0","1012.5","675.0","333.4","7857.200000000001","5386.300000000001"
"2022-09-23",,,,,"5357.200000000001","5357.200000000001"
