"employee_no","First name","Last name","Birthdate","Basic Salary","Clothing Allowance","Phone Allowance","Rice Subsidy","Hourly Rate"
"10024","Emelia ","Maceda","April 14 1963","22500.0","0.0","0.0","0.0","133.93"



"Weekly Date","Pagibig Deduction","SSS Deduction","Philhealth Deduction","Withholding Tax","Gross Salary","Net Salary"
"2022-11-11",,,,,"3261.1955000000003","3261.1955000000003"
"2022-10-28",,,,,"4285.76","4285.76"
"2022-12-16",,,,,"4285.76","4285.76"
"2022-09-09","450.0","1012.5","675.0","333.4","4285.76","1814.8600000000001"
"2022-10-21",,,,,"3261.1955000000003","3261.1955000000003"
"2022-09-02",,,,,"1118.3155000000002","1118.3155000000002"
"2022-11-25",,,,,"4285.76","4285.76"
"2022-09-30",,,,,"3261.1955000000003","3261.1955000000003"
"2022-10-07",,,,,"4285.76","4285.76"
"2022-12-23","450.0","1012.5","675.0","333.4","4332.6355","1861.7355000000002"
"2022-09-16",,,,,"3261.1955000000003","3261.1955000000003"
"2022-11-04",,,,,"3261.1955000000003","3261.1955000000003"
"2022-12-09",,,,,"3214.32","3214.32"
"2022-10-14","450.0","1012.5","675.0","333.4","4332.6355","1861.7355000000002"
"2022-12-02",,,,,"3261.1955000000003","3261.1955000000003"
"2022-12-30",,,,,"2189.7555","2189.7555"
"2022-11-18","450.0","1012.5","675.0","333.4","3261.1955000000003","790.2955000000002"
"2022-09-23",,,,,"3261.1955000000003","3261.1955000000003"
