"employee_no","First name","Last name","Birthdate","Basic Salary","Clothing Allowance","Phone Allowance","Rice Subsidy","Hourly Rate"
"10013","Fredrick ","Romualdez","March 10 1985","63500.0","1000.0","1000.0","1500.0","377.98"



"Weekly Date","Pagibig Deduction","SSS Deduction","Philhealth Deduction","Withholding Tax","Gross Salary","Net Salary"
"2022-11-11",,,,,"12095.36","12095.36"
"2022-10-28",,,,,"12095.36","12095.36"
"2022-12-16",,,,,"12095.36","12095.36"
"2022-09-09","1270.0","1125.0","1905.0","10041.75","15595.36","1253.6100000000006"
"2022-10-21",,,,,"12095.36","12095.36"
"2022-09-02",,,,,"6047.68","6047.68"
"2022-11-25",,,,,"12095.36","12095.36"
"2022-09-30",,,,,"12095.36","12095.36"
"2022-10-07",,,,,"12095.36","12095.36"
"2022-12-23","1270.0","1125.0","1905.0","10041.75","18619.2","4277.450000000001"
"2022-09-16",,,,,"15119.2","15119.2"
"2022-11-04",,,,,"12095.36","12095.36"
"2022-12-09",,,,,"9071.52","9071.52"
"2022-10-14","1270.0","1125.0","1905.0","10041.75","18619.2","4277.450000000001"
"2022-12-02",,,,,"12095.36","12095.36"
"2022-12-30",,,,,"9071.52","9071.52"
"2022-11-18","1270.0","1125.0","1905.0","10041.75","15595.36","1253.6100000000006"
"2022-09-23",,,,,"12095.36","12095.36"
