"employee_no","First name","Last name","Birthdate","Basic Salary","Clothing Allowance","Phone Allowance","Rice Subsidy","Hourly Rate"
"10021","Garfield ","Manalaysay","August 28 1966","24750.0","0.0","0.0","0.0","147.32"



"Weekly Date","Pagibig Deduction","SSS Deduction","Philhealth Deduction","Withholding Tax","Gross Salary","Net Salary"
"2022-11-11",,,,,"2384.1286666666665","2384.1286666666665"
"2022-10-28",,,,,"3535.68","3535.68"
"2022-12-16",,,,,"3535.68","3535.68"
"2022-09-09","495.0","1102.5","742.5","783.4","3535.68","412.27999999999975"
"2022-10-21",,,,,"3562.6886666666664","3562.6886666666664"
"2022-09-02",,,,,"1205.5686666666666","1205.5686666666666"
"2022-11-25",,,,,"3535.68","3535.68"
"2022-09-30",,,,,"3562.6886666666664","3562.6886666666664"
"2022-10-07",,,,,"3535.68","3535.68"
"2022-12-23","495.0","1102.5","742.5","783.4","3562.6886666666664","439.28866666666636"
"2022-09-16",,,,,"3562.6886666666664","3562.6886666666664"
"2022-11-04",,,,,"2384.1286666666665","2384.1286666666665"
"2022-12-09",,,,,"3535.68","3535.68"
"2022-10-14","495.0","1102.5","742.5","783.4","3562.6886666666664","439.28866666666636"
"2022-12-02",,,,,"2384.1286666666665","2384.1286666666665"
"2022-12-30",,,,,"2384.1286666666665","2384.1286666666665"
"2022-11-18","495.0","1102.5","742.5","783.4","3562.6886666666664","439.28866666666636"
"2022-09-23",,,,,"2384.1286666666665","2384.1286666666665"
