"employee_no","First name","Last name","Birthdate","Basic Salary","Clothing Allowance","Phone Allowance","Rice Subsidy","Hourly Rate"
"10001","Jose","Crisostomo","February 14 1988","62670.0","1000.0","1000.0","1500.0","373.04"



"Weekly Date","Pagibig Deduction","SSS Deduction","Philhealth Deduction","Withholding Tax","Gross Salary","Net Salary"
"2022-11-11",,,,,"14921.6","14921.6"
"2022-10-28",,,,,"14921.6","14921.6"
"2022-12-16",,,,,"14921.6","14921.6"
"2022-09-09","1253.4","1125.0","1880.1","9834.25","18421.6","4328.8499999999985"
"2022-10-21",,,,,"14921.6","14921.6"
"2022-09-02",,,,,"5968.64","5968.64"
"2022-11-25",,,,,"14921.6","14921.6"
"2022-09-30",,,,,"14921.6","14921.6"
"2022-10-07",,,,,"14921.6","14921.6"
"2022-12-23","1253.4","1125.0","1880.1","9834.25","18421.6","4328.8499999999985"
"2022-09-16",,,,,"14921.6","14921.6"
"2022-11-04",,,,,"11937.28","11937.28"
"2022-12-09",,,,,"11937.28","11937.28"
"2022-10-14","1253.4","1125.0","1880.1","9834.25","18421.6","4328.8499999999985"
"2022-12-02",,,,,"11937.28","11937.28"
"2022-12-30",,,,,"11937.28","11937.28"
"2022-11-18","1253.4","1125.0","1880.1","9834.25","18421.6","4328.8499999999985"
"2022-09-23",,,,,"14921.6","14921.6"
