"employee_no","First name","Last name","Birthdate","Basic Salary","Clothing Allowance","Phone Allowance","Rice Subsidy","Hourly Rate"
"10011","Josie ","Lopez","January 14 1937","38475.0","800.0","800.0","1500.0","229.02"



"Weekly Date","Pagibig Deduction","SSS Deduction","Philhealth Deduction","Withholding Tax","Gross Salary","Net Salary"
"2022-11-11",,,,,"7443.150000000001","7443.150000000001"
"2022-10-28",,,,,"7443.15","7443.15"
"2022-12-16",,,,,"7443.15","7443.15"
"2022-09-09","769.5","1125.0","1154.25","3785.5","10543.15","3708.8999999999996"
"2022-10-21",,,,,"9160.800000000001","9160.800000000001"
"2022-09-02",,,,,"3664.32","3664.32"
"2022-11-25",,,,,"7443.15","7443.15"
"2022-09-30",,,,,"9160.800000000001","9160.800000000001"
"2022-10-07",,,,,"7443.15","7443.15"
"2022-12-23","769.5","1125.0","1154.25","3785.5","10543.150000000001","3708.9000000000015"
"2022-09-16",,,,,"7443.150000000001","7443.150000000001"
"2022-11-04",,,,,"5610.99","5610.99"
"2022-12-09",,,,,"7328.64","7328.64"
"2022-10-14","769.5","1125.0","1154.25","3785.5","10543.150000000001","3708.9000000000015"
"2022-12-02",,,,,"5610.990000000001","5610.990000000001"
"2022-12-30",,,,,"7328.64","7328.64"
"2022-11-18","769.5","1125.0","1154.25","3785.5","12260.800000000001","5426.550000000001"
"2022-09-23",,,,,"7443.150000000001","7443.150000000001"
