"employee_no","First name","Last name","Birthdate","Basic Salary","Clothing Allowance","Phone Allowance","Rice Subsidy","Hourly Rate"
"10016","Kolby ","Delos Santos","February 26 1980","24000.0","0.0","0.0","0.0","142.86"



"Weekly Date","Pagibig Deduction","SSS Deduction","Philhealth Deduction","Withholding Tax","Gross Salary","Net Salary"
"2022-11-11",,,,,"3495.3080000000004","3495.3080000000004"
"2022-10-28",,,,,"4571.52","4571.52"
"2022-12-16",,,,,"4571.52","4571.52"
"2022-09-09","480.0","1080.0","720.0","633.4","4571.52","1658.1200000000003"
"2022-10-21",,,,,"3495.3080000000004","3495.3080000000004"
"2022-09-02",,,,,"1209.5480000000002","1209.5480000000002"
"2022-11-25",,,,,"4571.52","4571.52"
"2022-09-30",,,,,"3495.3080000000004","3495.3080000000004"
"2022-10-07",,,,,"4571.52","4571.52"
"2022-12-23","480.0","1080.0","720.0","633.4","4638.188","1724.788"
"2022-09-16",,,,,"4638.188","4638.188"
"2022-11-04",,,,,"3495.3080000000004","3495.3080000000004"
"2022-12-09",,,,,"3428.6400000000003","3428.6400000000003"
"2022-10-14","480.0","1080.0","720.0","633.4","4638.188","1724.788"
"2022-12-02",,,,,"3495.3080000000004","3495.3080000000004"
"2022-12-30",,,,,"2352.4280000000003","2352.4280000000003"
"2022-11-18","480.0","1080.0","720.0","633.4","3495.3080000000004","581.9080000000004"
"2022-09-23",,,,,"3495.3080000000004","3495.3080000000004"
