"employee_no","First name","Last name","Birthdate","Basic Salary","Clothing Allowance","Phone Allowance","Rice Subsidy","Hourly Rate"
"10008","Leila","Martinez","July 11 1970","24000.0","500.0","500.0","1500.0","142.86"



"Weekly Date","Pagibig Deduction","SSS Deduction","Philhealth Deduction","Withholding Tax","Gross Salary","Net Salary"
"2022-11-11",,,,,"4573.901","4573.901"
"2022-10-28",,,,,"4595.33","4595.33"
"2022-12-16",,,,,"4595.33","4595.33"
"2022-09-09","480.0","1080.0","720.0","633.4","7095.33","4181.93"
"2022-10-21",,,,,"4573.901","4573.901"
"2022-09-02",,,,,"1145.2610000000002","1145.2610000000002"
"2022-11-25",,,,,"4595.33","4595.33"
"2022-09-30",,,,,"3454.831","3454.831"
"2022-10-07",,,,,"4595.33","4595.33"
"2022-12-23","480.0","1080.0","720.0","633.4","5954.831","3041.431"
"2022-09-16",,,,,"3454.8310000000006","3454.8310000000006"
"2022-11-04",,,,,"2311.951","2311.951"
"2022-12-09",,,,,"4571.52","4571.52"
"2022-10-14","480.0","1080.0","720.0","633.4","5954.831","3041.431"
"2022-12-02",,,,,"2311.9510000000005","2311.9510000000005"
"2022-12-30",,,,,"3431.021","3431.021"
"2022-11-18","480.0","1080.0","720.0","633.4","5954.831","3041.431"
"2022-09-23",,,,,"4573.901","4573.901"
