"employee_no","First name","Last name","Birthdate","Basic Salary","Clothing Allowance","Phone Allowance","Rice Subsidy","Hourly Rate"
"10022","Lizeth ","Villegas","December 12 1981","24000.0","0.0","0.0","0.0","142.86"



"Weekly Date","Pagibig Deduction","SSS Deduction","Philhealth Deduction","Withholding Tax","Gross Salary","Net Salary"
"2022-11-11",,,,,"4571.52","4571.52"
"2022-10-28",,,,,"4571.52","4571.52"
"2022-12-16",,,,,"4571.52","4571.52"
"2022-09-09","480.0","1080.0","720.0","633.4","4571.52","1658.1200000000003"
"2022-10-21",,,,,"4571.52","4571.52"
"2022-09-02",,,,,"2285.76","2285.76"
"2022-11-25",,,,,"4571.52","4571.52"
"2022-09-30",,,,,"4571.52","4571.52"
"2022-10-07",,,,,"4571.52","4571.52"
"2022-12-23","480.0","1080.0","720.0","633.4","5714.400000000001","2801.0000000000005"
"2022-09-16",,,,,"5714.400000000001","5714.400000000001"
"2022-11-04",,,,,"4571.52","4571.52"
"2022-12-09",,,,,"3428.6400000000003","3428.6400000000003"
"2022-10-14","480.0","1080.0","720.0","633.4","5714.400000000001","2801.0000000000005"
"2022-12-02",,,,,"4571.52","4571.52"
"2022-12-30",,,,,"3428.6400000000003","3428.6400000000003"
"2022-11-18","480.0","1080.0","720.0","633.4","4571.52","1658.1200000000003"
"2022-09-23",,,,,"4571.52","4571.52"
