"employee_no","First name","Last name","Birthdate","Basic Salary","Clothing Allowance","Phone Allowance","Rice Subsidy","Hourly Rate"
"10007","Martha","Farala","January 11 1942","24000.0","500.0","500.0","1500.0","142.86"



"Weekly Date","Pagibig Deduction","SSS Deduction","Philhealth Deduction","Withholding Tax","Gross Salary","Net Salary"
"2022-11-11",,,,,"4635.807000000001","4635.807000000001"
"2022-10-28",,,,,"5714.400000000001","5714.400000000001"
"2022-12-16",,,,,"5714.400000000001","5714.400000000001"
"2022-09-09","480.0","1080.0","720.0","633.4","8214.400000000001","5301.000000000002"
"2022-10-21",,,,,"4635.807000000001","4635.807000000001"
"2022-09-02",,,,,"1207.1670000000001","1207.1670000000001"
"2022-11-25",,,,,"5714.400000000001","5714.400000000001"
"2022-09-30",,,,,"4635.807000000001","4635.807000000001"
"2022-10-07",,,,,"5714.400000000001","5714.400000000001"
"2022-12-23","480.0","1080.0","720.0","633.4","7135.807000000001","4222.407000000001"
"2022-09-16",,,,,"4635.807000000001","4635.807000000001"
"2022-11-04",,,,,"3492.9270000000006","3492.9270000000006"
"2022-12-09",,,,,"4571.52","4571.52"
"2022-10-14","480.0","1080.0","720.0","633.4","7135.807000000001","4222.407000000001"
"2022-12-02",,,,,"3492.9270000000006","3492.9270000000006"
"2022-12-30",,,,,"3492.927","3492.927"
"2022-11-18","480.0","1080.0","720.0","633.4","7135.807000000001","4222.407000000001"
"2022-09-23",,,,,"4635.807000000001","4635.807000000001"
