"employee_no","First name","Last name","Birthdate","Basic Salary","Clothing Allowance","Phone Allowance","Rice Subsidy","Hourly Rate"
"10020","Percival ","Gutierrez","December 18 1970","24750.0","0.0","0.0","0.0","147.32"



"Weekly Date","Pagibig Deduction","SSS Deduction","Philhealth Deduction","Withholding Tax","Gross Salary","Net Salary"
"2022-11-11",,,,,"4714.24","4714.24"
"2022-10-28",,,,,"4714.24","4714.24"
"2022-12-16",,,,,"4714.24","4714.24"
"2022-09-09","495.0","1102.5","742.5","783.4","4714.24","1590.8399999999997"
"2022-10-21",,,,,"4714.24","4714.24"
"2022-09-02",,,,,"2357.12","2357.12"
"2022-11-25",,,,,"4714.24","4714.24"
"2022-09-30",,,,,"4714.24","4714.24"
"2022-10-07",,,,,"4714.24","4714.24"
"2022-12-23","495.0","1102.5","742.5","783.4","5892.799999999999","2769.399999999999"
"2022-09-16",,,,,"5892.799999999999","5892.799999999999"
"2022-11-04",,,,,"4714.24","4714.24"
"2022-12-09",,,,,"3535.68","3535.68"
"2022-10-14","495.0","1102.5","742.5","783.4","5892.799999999999","2769.399999999999"
"2022-12-02",,,,,"4714.24","4714.24"
"2022-12-30",,,,,"3535.68","3535.68"
"2022-11-18","495.0","1102.5","742.5","783.4","4714.24","1590.8399999999997"
"2022-09-23",,,,,"4714.24","4714.24"
