"employee_no","First name","Last name","Birthdate","Basic Salary","Clothing Allowance","Phone Allowance","Rice Subsidy","Hourly Rate"
"10012","Selena ","De Leon","February 20 1945","41850.0","800.0","800.0","1500.0","249.11"



"Weekly Date","Pagibig Deduction","SSS Deduction","Philhealth Deduction","Withholding Tax","Gross Salary","Net Salary"
"2022-11-11",,,,,"9964.400000000001","9964.400000000001"
"2022-10-28",,,,,"9964.400000000001","9964.400000000001"
"2022-12-16",,,,,"9964.400000000001","9964.400000000001"
"2022-09-09","837.0","1125.0","1255.5","4629.25","13064.400000000001","5217.6500000000015"
"2022-10-21",,,,,"9964.400000000001","9964.400000000001"
"2022-09-02",,,,,"3985.76","3985.76"
"2022-11-25",,,,,"9964.400000000001","9964.400000000001"
"2022-09-30",,,,,"9964.400000000001","9964.400000000001"
"2022-10-07",,,,,"9964.400000000001","9964.400000000001"
"2022-12-23","837.0","1125.0","1255.5","4629.25","13064.400000000001","5217.6500000000015"
"2022-09-16",,,,,"9964.400000000001","9964.400000000001"
"2022-11-04",,,,,"7971.52","7971.52"
"2022-12-09",,,,,"7971.52","7971.52"
"2022-10-14","837.0","1125.0","1255.5","4629.25","13064.400000000001","5217.6500000000015"
"2022-12-02",,,,,"7971.52","7971.52"
"2022-12-30",,,,,"7971.52","7971.52"
"2022-11-18","837.0","1125.0","1255.5","4629.25","13064.400000000001","5217.6500000000015"
"2022-09-23",,,,,"9964.400000000001","9964.400000000001"
